block,timestamp,date,price_scale,price_oracle,price_effective,price_lusd3crv,balances_blusd,balances_lusd_3crv,lp_supply,xcp_profit,virtual_price,fee,volume,sold_id,tokens_sold,bought_id,tokens_bought
15781767,1666177871,2022-10-19T11:11:11.000Z,0.7648621959615867,0.749123530183923,0.8141165631953446,0.9930295286997609,12046.970167332249,12357.807423547818,12203.749899989243,1.0006304356143425,1.0006420016561604,0.0044704704,2614.850113601961,0,2000,1,2456.6506694694363
15781806,1666178339,2022-10-19T11:18:59.000Z,0.7773519779840641,0.8055728936445691,0.8716678419964875,0.9931085772943256,19296.987180986256,21906.679871208413,20557.03912547839,1.0006979769377362,1.0006559261228007,0.0043941198,150.93177698949978,1,150.93177698949978,0,131.56237633713238
15781898,1666179455,2022-10-19T11:37:35.000Z,0.7991164657552612,0.7925426322121759,0.7469920113660928,0.9934161420278839,44086.87165323785,59521.16877386533,51197.810233095,1.00093572683692,1.0008560882835102,0.0042382656,633.1547466662842,0,505.9643834321287,1,677.3357355011404
15781928,1666179815,2022-10-19T11:43:35.000Z,0.7916521353213383,0.7680503474760102,0.7214966919948099,0.9934382949794598,45641.70768188962,62256.66446775034,53269.91771207785,1.0010976329925914,1.0009816154996343,0.0042434711,1964.0394553103079,0,1554.8360286517634,1,2155.0147712429816
15781960,1666180199,2022-10-19T11:49:59.000Z,0.7792017534086495,0.7502906268155345,0.7064113540229399,0.9939042079445538,83514.46264989022,120769.88778448405,100372.56338437542,1.001205910139582,1.0010345714959479,0.0043845308,1407.5775344771116,1,1407.5775344771116,0,994.3287520222477
15782140,1666182359,2022-10-19T12:25:59.000Z,0.7536975503127633,0.7140556384221097,0.7285709953182693,0.9942960756230278,87177.0332822862,120092.50157642904,102236.31481148615,1.0012551113846608,1.0009427622902318,0.0037498549,2064.0346241878283,0,1555.6578400110911,1,2135.2179128837224
15782325,1666184591,2022-10-19T13:03:11.000Z,0.7484519334108894,0.7274694658033939,0.7329573569432093,0.9943016741489741,86639.79918012225,120825.46932288088,102236.31481148615,1.0012674163824489,1.0009207825226933,0.0038654397,732.9677464518212,1,732.9677464518212,0,537.2341021639472
15782666,1666188707,2022-10-19T14:11:47.000Z,0.7527127983938167,0.7981377836398519,0.79639944991215,0.9942262060586025,122790.4375801283,151303.16772767328,136210.69072786355,1.0013995128740971,1.0009826586798918,0.004234326,140.5105169350822,1,140.5105169350822,0,111.9024983939713
15783378,1666197299,2022-10-19T16:34:59.000Z,0.785903327017263,0.8837159619054903,0.9188837875004988,0.9933165569866726,503019.38301009085,553859.4513054662,527501.4071527406,1.001717091570573,1.0011723953973295,0.0044196978,15090.939275092953,1,15090.939275092953,0,13866.819438037444
15783414,1666197731,2022-10-19T16:42:11.000Z,0.808229359684409,0.8975334903529928,0.8831394761830427,0.9932995865622154,497872.8414920476,559687.0036421444,527501.4071527406,1.0017400885258325,1.0010948842826908,0.0043269001,5827.552336678157,1,5827.552336678157,0,5146.541518043214
